biogeo-schema-contract-v1
record_kind	location	name	requirement	value_type	constraint
file	.	metadata.tsv	required	key_value	-
file	.	inputs.tsv	required	table	-
file	.	source-parameters.tsv	required	utf8_file	-
file	.	resolved-parameters.tsv	required	utf8_file	-
directory	.	input-bundle	required	directory	-
key	metadata.tsv	format	required	literal	biogeo-analysis-result-v2
key	metadata.tsv	status	required	literal	complete
key	metadata.tsv	mode	required	enum	evaluate|optimize
key	metadata.tsv	lnL	required	f64	-
key	metadata.tsv	lnL_bits	required	hex16	-
key	metadata.tsv	model_identity_format	required	literal	biogeo-model-identity-v1
key	metadata.tsv	model_fingerprint	required	hex16	-
key	metadata.tsv	tip_observation_model	required	enum	exact_ranges|ambiguous_ranges|mf_dp_fdp_detection
key	metadata.tsv	tree_name	required	encoded_string	-
key	metadata.tsv	max_range_size	required	u8	-
key	metadata.tsv	include_null_range	required	bool	-
key	metadata.tsv	root_prior	required	enum	flat|equal
key	metadata.tsv	min_branch_length	required	f64	-
key	metadata.tsv	min_branch_length_bits	required	hex16	-
key	metadata.tsv	missing_branch_length_fill	optional	f64	-
key	metadata.tsv	missing_branch_length_fill_bits	optional	hex16	-
key	metadata.tsv	states	required	usize	-
key	metadata.tsv	areas	required	usize	-
key	metadata.tsv	tips	required	usize	-
key	metadata.tsv	optimization_performed	required	bool	-
key	metadata.tsv	inputs_file	required	literal	inputs.tsv
key	metadata.tsv	input_path_mode	required	literal	relative
key	metadata.tsv	input_bundle_dir	required	literal	input-bundle
key	metadata.tsv	input_bundle_format	required	literal	biogeo-input-bundle-v1
key	metadata.tsv	input_bundle_fingerprint	required	hex16	-
key	metadata.tsv	source_parameters_file	required	literal	source-parameters.tsv
key	metadata.tsv	source_parameters_fingerprint	required	hex16	-
key	metadata.tsv	resolved_parameters_file	required	literal	resolved-parameters.tsv
key	metadata.tsv	resolved_parameters_fingerprint	required	hex16	-
key	metadata.tsv	optimization_converged	when:optimization_performed=true	bool	-
key	metadata.tsv	optimization_iterations	when:optimization_performed=true	usize	-
key	metadata.tsv	optimization_evaluations	when:optimization_performed=true	usize	-
key	metadata.tsv	optimization_starts	when:optimization_performed=true	usize	-
key	metadata.tsv	optimization_converged_starts	when:optimization_performed=true	usize	-
column	inputs.tsv	role	required	encoded_string	-
column	inputs.tsv	path	required	portable_path	-
column	inputs.tsv	required_for_replay	required	bool	-
column	inputs.tsv	bytes	required	u64	-
column	inputs.tsv	fingerprint	required	hex16	-
